avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,avg_virtual_drift,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
91232656.0,0.04888636991381645,0.0,1.005635380744934,20.5,0.0,0.0,192713088.0,0.761439588688946,0.0,0.0,0.0,3.2911111111111113,0.7669601242879337,2597.07763671875,-37518288896.0,450.0,0.0,0.0,0.0,1.0,1.0
80336080.0,0.0488688126206398,0.0,0.960608959197998,18.690000534057617,0.0,0.0,173328224.0,0.7765131919296431,0.0,0.0,0.0,3.5995203836930454,0.7825860271115745,1986.708251953125,-33400455168.0,417.0,0.0,0.0,0.0,1.0,1.0
89538952.0,0.04909051954746246,0.0,0.9242223501205444,18.079999923706055,0.0,0.0,211752672.0,0.7602067183462532,0.0,0.0,0.0,3.3205417607223477,0.7685475444096134,2511.98291015625,-39083499520.0,443.0,0.0,0.0,0.0,1.0,1.0
86193672.0,0.047950517386198044,0.0,0.9744082689285278,19.709999084472656,0.0,0.0,115871376.0,0.7672988211173757,0.0,0.0,0.0,3.4413793103448276,0.7748447204968945,2196.0029296875,-28826306560.0,435.0,0.0,0.0,0.0,1.0,1.0
87475424.0,0.04853622987866402,0.0,0.9547889828681946,18.65999984741211,0.0,0.0,131409672.0,0.7700617283950617,0.0,0.0,0.0,3.5140845070422535,0.7784711388455539,2350.8837890625,-30636474368.0,426.0,0.0,0.0,0.0,1.0,1.0
64934468.0,0.04771396145224571,0.0,0.8936054110527039,15.220000267028809,0.0,0.0,140542544.0,0.7919463087248322,0.0,0.0,0.0,4.068965517241379,0.8027210884353742,2356.548583984375,-27041526784.0,377.0,0.0,0.0,0.0,1.0,1.0
61626728.0,0.04841319099068642,0.0,0.8978524208068848,14.609999656677246,0.0,0.0,224253856.0,0.7693506493506493,0.0,0.0,0.0,3.468384074941452,0.7762054507337526,2282.60498046875,-34751154688.0,427.0,0.0,0.0,0.0,1.0,1.0
71216048.0,0.04884164407849312,0.0,0.9015938639640808,16.829999923706055,0.0,0.0,74211464.0,0.7819121447028424,0.0,0.0,0.0,3.7543424317617866,0.7896659707724426,2550.482666015625,-21664759296.0,403.0,0.0,0.0,0.0,1.0,1.0
80628680.0,0.04717894643545151,0.0,0.9076250195503235,17.649999618530273,0.0,0.0,90780672.0,0.7890665291387313,0.0,0.0,0.0,3.883248730964467,0.7952182952182952,2202.5830078125,-25204197376.0,394.0,0.0,0.0,0.0,1.0,1.0
92378632.0,0.04637208953499794,0.0,1.0023858547210693,19.6200008392334,0.0,0.0,110596872.0,0.7816032887975334,0.0,0.0,0.0,3.682808716707022,0.7864529472595657,2270.228271484375,-29535826944.0,413.0,0.0,0.0,0.0,1.0,1.0
54223564.0,0.04593169689178467,0.0,0.9449852108955383,16.110000610351562,0.0,0.0,174574368.0,0.7793427230046949,0.0,0.0,0.0,3.661764705882353,0.7854889589905363,2366.19287109375,-28302559232.0,408.0,0.0,0.0,0.0,1.0,1.0
68997536.0,0.04764663800597191,0.0,0.9427387714385986,17.549999237060547,0.0,0.0,115004864.0,0.8017462763225475,0.0,0.0,0.0,4.140583554376658,0.8054695562435501,2186.881591796875,-25300370944.0,377.0,0.0,0.0,0.0,1.0,1.0
71553816.0,0.047475069761276245,0.0,0.918983519077301,16.770000457763672,0.0,0.0,279761120.0,0.7524908232826429,0.0,0.0,0.0,3.1818181818181817,0.7608695652173914,2299.43994140625,-42287327232.0,451.0,0.0,0.0,0.0,1.0,1.0
62258836.0,0.04693692550063133,0.0,0.9295687079429626,15.520000457763672,0.0,0.0,165646496.0,0.7576557550158395,0.0,0.0,0.0,3.2613636363636362,0.7653333333333333,2483.65380859375,-29016857088.0,440.0,0.0,0.0,0.0,1.0,1.0
97380312.0,0.05029477924108505,0.0,0.9860120415687561,18.31999969482422,0.0,0.0,75776664.0,0.791967044284243,0.0,0.0,0.0,3.9741602067183464,0.798961038961039,2307.518310546875,-27054118912.0,387.0,0.0,0.0,0.0,1.0,1.0
88887376.0,0.049164142459630966,0.0,0.8856185674667358,17.079999923706055,0.0,0.0,134412448.0,0.7894464562855664,0.0,0.0,0.0,3.8829516539440205,0.795205836373111,2302.468505859375,-31219112960.0,393.0,0.0,0.0,0.0,1.0,1.0
67523448.0,0.04679984971880913,0.0,0.9866636395454407,19.020000457763672,0.0,0.0,180945344.0,0.7982501286670097,0.0,0.0,0.0,4.081578947368421,0.8032107716209218,2272.953369140625,-31599603200.0,380.0,0.0,0.0,0.0,1.0,1.0
